2.49684,2.00,1.00,512.00,1.00,0.18630,878.58
2.49081,2.00,1.00,128.00,1.00,0.18704,878.69
2.38839,2.00,1.00,4.00,1.00,0.18611,878.44
2.42418,2.00,1.00,8.00,1.00,0.18643,878.49
2.36779,2.00,1.00,2.00,1.00,0.18682,878.73
2.37319,2.00,1.00,0.00,1.00,0.18636,878.49
2.36580,2.00,1.00,1.00,1.00,0.18625,878.57
2.49667,2.00,1.00,1024.00,1.00,0.18661,878.58
2.80203,2.00,4.00,256.00,1.00,0.06713,1051.15
2.79001,2.00,4.00,128.00,1.00,0.07124,1051.28
2.71834,2.00,4.00,32.00,1.00,0.09600,1052.08
1.75769,2.00,4.00,2.00,1.00,0.40362,1063.26
0.75027,2.00,4.00,0.50,1.00,0.70024,1073.91
2.76183,2.00,6.00,85.33,1.00,0.07992,1063.46
1.25518,2.00,4.00,1.00,1.00,0.55634,1068.85
0.39320,2.00,4.00,0.25,1.00,0.80045,1077.78
2.65929,2.00,6.00,21.33,1.00,0.11479,1065.29
2.77951,2.00,6.00,170.67,1.00,0.07383,1063.03
0.03326,2.00,4.00,0.00,1.00,0.80201,1154.47
1.41566,2.00,6.00,1.33,1.00,0.49636,1083.81
0.86769,2.00,6.00,0.67,1.00,0.65449,1091.06
2.70113,2.00,9.00,56.89,1.00,0.09814,1081.24
2.73019,2.00,9.00,113.78,1.00,0.08812,1080.45
2.55391,2.00,9.00,14.22,1.00,0.14719,1083.51
0.40959,2.00,6.00,0.33,1.00,0.78297,1097.50
0.00000,2.00,6.00,0.17,1.00,0.72571,1339.78
0.03304,2.00,6.00,0.00,1.00,0.85221,1200.23
1.03219,2.00,9.00,0.89,1.00,0.60208,1105.38
0.51036,2.00,9.00,0.44,1.00,0.75283,1112.27
0.12369,2.00,9.00,0.22,1.00,0.85583,1119.74
0.06298,2.00,9.00,0.11,1.00,0.85479,1165.84
